^yb1 ䷀乾:	Qian:
雲上於天，需；君子以飲食宴樂。	(The trigram for) clouds ascending over that for the sky forms Xu. The superior man, in accordance with this, eats and drinks, feasts and enjoys himself (as if there were nothing else to employ him).
2 ䷄需:	Xu:
初九：需于郊。	The first NINE, undivided, shows its subject waiting in the distant border. 
利用恆，无咎。	It will be well for him constantly to maintain (the purpose thus shown), in which case there will be no error.
象傳:	Xiang Zhuan:
需于郊，不犯難行也。	'He is waiting in the (distant) border:' - he makes no movement to encounter rashly the difficulties (of the situation). 
利用恆，无咎；未失常也。	'It will be advantageous for him constantly to maintain (the purpose thus shown), in which case there will be no error:' - he will not fail to pursue that regular course.
3 ䷄需:	Xu:
九二：需于沙。	The second NINE, undivided, shows its subject waiting on the sand (of the mountain stream). 
小有言，終吉。	He will (suffer) the small (injury of) being spoken (against), but in the end there will be good fortune.
象傳:	Xiang Zhuan:
需于沙，衍在中也。	'He is waiting on the sand:' - he occupies his position in the centre with a generous forbearance. 
雖小有言，以終吉也。	Though 'he suffer the small injury of being spoken (against),' he will bring things to a good issue.
4 ䷄需:	Xu:
九三：需于泥，致寇至。	The third NINE, undivided, shows its subject in the mud (close by the stream). He thereby invites the approach of injury.
象傳:	Xiang Zhuan:
需于泥，災在外也。	'He is waiting in the mud:' - calamity is (close at hand, and as it were) in the outer (trigram). 
自我致寇，敬慎不敗也。	'He himself invites the approach of injury:' - if he be reverent and careful, he will not be worsted.
5 ䷄需:	Xu:
六四：需于血，出自穴。	The fourth SIX, divided, shows its subject waiting in (the place of) blood. But he will get out of the cavern.
象傳:	Xiang Zhuan:
需于血，順以聽也。	'He is waiting in (the place of) blood:' - he accommodates himself (to the circumstances of the time), and hearkens to (its requirements).
6 ䷄需:	Xu:
九五：需于酒食，貞吉。	The fifth NINE, undivided, shows its subject waiting amidst the appliances of a feast. Through his firmness and correctness there will be good fortune.
象傳:	Xiang Zhuan:
酒食貞吉，以中正也。	'The appliances of a feast, and the good fortune through being firm and correct,' are indicated by (the position in) the central and correct place.
7 ䷄需:	Xu:
上六：入于穴，有不速之客三人來，敬之終吉。	The topmost SIX, divided, shows its subject entered into the cavern. (But) there are three guests coming, without being urged, (to his help). If he receive them respectfully, there will be good fortune in the end.
象傳:	Xiang Zhuan:
不速之客來，敬之終吉。	'Guests come unurged (to give their help), and if (the subject of the line) receive them respectfully, there will be good fortune in the end:' -
雖不當位，未大失也。	 though the occupant and the place are not suited to each other, there has been no great failure (in what has been done).
^yb6 ䷅訟:	Song:
訟：有孚，窒。	Song intimates how, though there is sincerity in one's contention, he will yet meet with opposition and obstruction; 
惕中吉。終凶。	but if he cherish an apprehensive caution, there will be good fortune, while, if he must prosecute the contention to the (bitter) end, there will be evil. 
利見大人，不利涉大川。	It will be advantageous to see the great man; it will not be advantageous to cross the great stream.
彖傳:	Tuan Zhuan:
訟，上剛下險，	The upper portion of Song is (the trigram representing) strength, and the lower (that representing) peril. 
險而健訟。	(The coming together of) strength and peril gives (the idea in) Song. 
訟有孚窒，惕中吉，	'Song intimates how, though there is sincerity in one's contention, he will yet meet with opposition and obstruction; but if he cherish an apprehensive caution, there will be good fortune:'
剛來而得中也。	 - a strong (line) has come and got the central place (in the lower trigram).
終凶；訟不可成也。	'If he must prosecute the contention to the (bitter) end, there will be evil:' - contention is not a thing to be carried on to extremity. 
利見大人；尚中正也。	'It will be advantageous to meet with the great man:' - what he sets a value on is the due mean, and the correct place. 
不利涉大川；入于淵也。	'It will not be advantageous to cross the great stream:' - one (attempting to do so) would find himself in an abyss.
象傳:	Xiang Zhuan:
天與水違行，訟；	(The trigram representing) heaven and (that representing) water, moving away from each other, form Song. 
君子以作事謀始。	The superior man, in accordance with this, in the transaction of affairs takes good counsel about his first steps.
2 ䷅訟:	Song:
初六：不永所事，小有言，終吉。	The first SIX, divided, shows its subject not perpetuating the matter about which (the contention is). He will suffer the small (injury) of being spoken against, but the end will be fortunate.
象傳:	Xiang Zhuan:
不永所事，訟不可長也。	'He does not perpetuate the matter about which (the contention is):' - contention should not be prolonged. 
雖有小言，其辯明也。	Although 'he may suffer the small (injury) of being spoken against,' his argument is clear.
3 ䷅訟:	Song:
九二：不克訟，	The second NINE, undivided, shows its subject unequal to the contention. 
歸而逋，其邑人三百戶，无眚。	If he retire and keep concealed (where) the inhabitants of his city are (only) three hundred families, he will fall into no mistake.
象傳:	Xiang Zhuan:
不克訟，歸而逋也。	'He is unequal to the contention; he retires and keeps concealed, stealthily withdrawing from it:' -
自下訟上，患至掇也。	 for him from his lower place to contend with (the stronger one) above, would be to (invite) calamity, as if he brought it with his hand to himself.
4 ䷅訟:	Song:
六三：食舊德，	The third SIX, divided, shows its subject keeping in the old place assigned for his support, and firmly correct. 
貞厲，終吉，或從王事，无成。	Perilous as the position is, there will be good fortune in the end. Should he perchance engage in the king's business, he will not (claim the merit of) achievement.
象傳:	Xiang Zhuan:
食舊德，從上吉也。	'He confines himself to the support assigned to him of old:' - (thus) following those above him, he will have good fortune.
5 ䷅訟:	Song:
九四：不克訟，復即命渝，安貞吉。	The fourth NINE, undivided, shows its subject unequal to the contention. He returns to (the study of Heaven's) ordinances, changes (his wish to contend), and rests in being firm and correct. There will be good fortune.
象傳:	Xiang Zhuan:
復即命，渝安貞；不失也。	'He returns to (the study of Heaven's) ordinances, changes (his wish to contend), and rests in being firm and correct:' - he does not fail (in doing what is right).
6 ䷅訟:	Song:
九五：訟元吉。	S. The fifth NINE, undivided, shows its subject contending - and with great good fortune.
象傳:	Xiang Zhuan:
訟元吉，以中正也。	'He contends; - and 'with great fortune: - this is shown by his holding the due mean and being in the correct place.
